timestamp,J,Q,ET,wi,C_J,C_Qm,C_Qm_NP,d_f,F_14,F_75,F_218,F_352,F_1056
01-Jan-2020 00:00:00,0,0.0348489691367169,0,0.813126642467082,NaN,247.726105167951,348.393467136231,0.540731301843129,0,0.107719788365864,0.259621892336247,0.477980557495557,0.821290175290919
01-Jan-2020 03:00:00,0,0.0344222800300937,0,0.810652232049045,NaN,198.492554970523,253.388735889112,0.403121229819448,0,0.29096359138322,0.473711160093535,0.664318352885878,0.896657606942836
01-Jan-2020 06:00:00,0,0.0340076174893442,0,0.808188886382772,NaN,198.922698237718,254.086423251234,0.403924602018942,0,0.289469136797771,0.472254321525815,0.663205370067316,0.89625816812944
01-Jan-2020 09:00:00,0,0.0336044867736054,0,0.805736655095944,NaN,199.349322092781,254.779445026325,0.404723782741756,0,0.287989286858569,0.470808603084076,0.662099292478698,0.895860710550968
01-Jan-2020 12:00:00,0,0.0332124195783488,0,0.803295582815767,NaN,199.772455268526,255.467825204767,0.405518769211639,0,0.28652391037943,0.469373950000425,0.661000109014823,0.89546523835997
01-Jan-2020 15:00:00,0,0.0328309723053389,0,0.800865709390268,NaN,200.192126707785,256.151588515188,0.406309560346124,0,0.285072875429311,0.467950305501269,0.659907806683618,0.895071754977352
01-Jan-2020 18:00:00,0,0.0324597244661006,0,0.798447070099568,NaN,200.608365533356,256.830760371403,0.407096156666321,0,0.283636049462915,0.466537610945705,0.658822370707094,0.894680263125599
01-Jan-2020 21:00:00,0,0.0320982772070642,0,0.79603969585767,NaN,201.021201019627,257.50536682201,0.407878560205327,0,0.282213299443899,0.465135805957085,0.657743784617679,0.894290764860557
02-Jan-2020 00:00:00,0,0.0317462519457372,0,0.793643613405243,NaN,201.430662565782,258.175434502504,0.408656774425128,0,0.280804491961033,0.463744828548102,0.656672030350125,0.893903261601825
02-Jan-2020 03:00:00,0,0.0314032891083018,0,0.791258845493882,NaN,201.836779670537,258.840990589784,0.409430804135594,0,0.279409493337628,0.462364615239663,0.655607088329218,0.893517754161847
02-Jan-2020 06:00:00,0,0.0310690469599706,0,0.788885411062272,NaN,202.239581908316,259.502062758956,0.410200655418316,0,0.278028169734574,0.460226329201229,0.654548937553483,0.893134242773748
02-Jan-2020 09:00:00,0,0.0307432005202716,0,0.786523325404662,NaN,202.639098906798,260.158679142309,0.410966335555839,0,0.276660387247273,0.456727448226316,0.65349755567507,0.892752727117982
02-Jan-2020 12:00:00,0,0.0304254405561739,0,0.784172600332047,NaN,203.03536032578,260.81086829036,0.41172785296157,0,0.275306011996777,0.453460849881591,0.652452919076007,0.892373206347851
02-Jan-2020 15:00:00,0,0.0301154726466347,0,0.781833244326404,NaN,203.428395837277,261.458659134884,0.412485217116815,0,0.273964910215408,0.450405222385481,0.651415002940985,0.891995679113929
02-Jan-2020 18:00:00,0,0.0298130163127436,0,0.779505262688326,NaN,203.818235106803,262.102080953818,0.413238438508844,0,0.272636948327126,0.448091897868376,0.650383781326837,0.891620143587472
02-Jan-2020 21:00:00,0,0.0295178042081768,0,0.77718865767838,NaN,204.204907775791,262.741163337958,0.413987528570872,0,0.27132199302291,0.444915585119731,0.649359227228867,0.891246597482827
03-Jan-2020 00:00:00,0.828025913629117,0.0312455104770554,0,0.788317327507643,-10.4421411552208,204.588443445058,263.375936159368,0.414732499629498,0,0.270019911331391,0.439785820765058,0.648341312644165,0.890875038078914
03-Jan-2020 03:00:00,1.16525739173223,0.0410145694001671,0,0.838602454513823,-10.0702511523973,198.724384942173,257.242787946283,0.421921108857866,0.0679808227357315,0.281147479729532,0.446452446830154,0.654293016859093,0.892916571589116
03-Jan-2020 06:00:00,1.08793453413413,0.0575318418688901,0,0.884940739578189,-9.70111935671114,187.723390719286,241.688481032469,0.414288973036615,0.120393202807336,0.31756448665611,0.478787153270953,0.677968047085821,0.901261110742041
03-Jan-2020 09:00:00,0.842046860887262,0.0834051501986996,0,0.920035086908314,-9.62257421531408,177.182859197528,226.878314211241,0.406707540496348,0.167498460275992,0.353788694675829,0.51032996641623,0.700300358143931,0.908963435880784
03-Jan-2020 12:00:00,2.33438458312354,0.117976514181918,0,0.941001109905104,-9.1004076931059,168.839033564146,215.287275862109,0.400897859976178,0.204502837366939,0.3829889734672,0.535202049849151,0.717541505565747,0.914803345844929
03-Jan-2020 15:00:00,3.07823861022126,0.220864691811489,0,0.968651717894285,-9.08824556941675,160.399517636813,205.042226221163,0.404417965374666,0.25538211331545,0.410839080259831,0.555186561537128,0.72999925075758,0.918766475520237
03-Jan-2020 18:00:00,2.61378484453156,0.532838305336392,0,0.986624792040658,-9.33163593013369,149.944926182259,192.064100729066,0.407325730764768,0.312636824887108,0.446923425475364,0.581395254700786,0.746297427344565,0.923920475736252
03-Jan-2020 21:00:00,0.921286976254517,0.618088747667578,0,0.988555036536418,-9.60131084231917,142.764783558792,183.203563902541,0.410013040924757,0.351320504342562,0.472291949721525,0.59948449352198,0.757296266752835,0.927337288210597
04-Jan-2020 00:00:00,0.238384215790364,0.616455117274477,0,0.988066821169556,-9.91335329701299,141.539841160343,181.813438000773,0.411478571102526,0.359325447884565,0.476783489552165,0.60226222786088,0.75879672303779,0.927768653404087
04-Jan-2020 03:00:00,0,0.509136942429783,0,0.985021220614853,NaN,141.697828948063,182.045638195523,0.41175363979136,0.359527694097899,0.476459579019355,0.601844004933096,0.758477782418335,0.927660990575908
